start_time_yr,start_time_mo,start_time_dt,start_time_hr,start_time_mn,start_time_sc,start_time_ms,meal_type,calorie,update_time_yr,update_time_mo,update_time_dt,update_time_hr,update_time_mn,update_time_sc,update_time_ms,amount,pkg_name,time_offset,name,comment,unit,custom,create_time_yr,create_time_mo,create_time_dt,create_time_hr,create_time_mn,create_time_sc,create_time_ms,food_info_id
2018,6,19,16,0,0,0,100002,450,2018,6,19,20,55,26,313,3,com.sec.android.app.shealth,UTC-0400,Home Fried Potatoes(Sodexo),NA,120001,NA,2018,6,19,20,55,26,313,cf558f4d-80e0-4823-9505-98c0768f2ea6
2018,6,14,16,3,37,445,100002,9,2018,6,14,16,5,22,833,1,com.sec.android.app.shealth,UTC-0400,Banana Pepper,NA,120001,NA,2018,6,14,14,21,19,678,b656d121-849a-4f8c-a0a6-040b81831489
2018,7,20,16,0,0,0,100002,41.5,2018,7,20,20,53,22,825,0.5,com.sec.android.app.shealth,UTC-0400,Blueberries,NA,120001,NA,2018,7,20,20,53,22,825,85e1291b-43ec-4b34-ac0a-6605b6e6ef10
2018,7,11,17,2,10,741,100002,20.5,2018,7,11,17,15,10,357,0.5,com.sec.android.app.shealth,UTC-0400,Bamboo Shoots,NA,120001,NA,2018,7,11,17,6,25,239,b8062489-f0b4-48ba-bf86-85c041819cc0
2018,7,18,15,9,42,362,100001,134,2018,7,18,15,10,9,643,1,com.sec.android.app.shealth,UTC-0400,Baked Sweetpotato (Peel Not Eaten),NA,120001,NA,2018,7,18,15,10,9,643,e0a672d3-d7be-49bf-85ec-cb89cf840e35
2018,7,10,16,46,55,209,100005,127,2018,7,10,20,8,17,170,1,com.sec.android.app.shealth,UTC-0400,Soy Milk,NA,120001,NA,2018,7,10,16,48,21,640,0dfce1e2-39d5-42ce-a9b1-733d49df0799
2018,6,15,0,57,14,588,100003,37,2018,6,15,1,48,32,934,0.5,com.sec.android.app.shealth,UTC-0400,Pineapple,NA,120001,NA,2018,6,15,0,58,10,81,6835060c-2197-428c-ab62-f8e16e8c34ea
2018,6,20,13,41,52,571,100001,134,2018,6,20,13,42,1,791,1,com.sec.android.app.shealth,UTC-0400,Baked Sweetpotato (Peel Not Eaten),NA,120001,NA,2018,6,20,13,42,1,791,e0a672d3-d7be-49bf-85ec-cb89cf840e35
2018,6,27,1,27,57,547,100003,87,2018,6,27,1,31,45,797,1,com.sec.android.app.shealth,UTC-0400,Grilled Mushrooms(Bob Evans),NA,120001,NA,2018,6,27,1,31,45,797,461ad922-6759-4d99-82cf-7efa5f01d896
2018,6,25,17,22,49,896,100002,13,2018,6,25,18,29,2,898,1,com.sec.android.app.shealth,UTC-0400,Napa Cabbage (Cooked),NA,120001,NA,2018,6,25,18,29,2,898,7f5d0706-be57-479b-97a2-20073a0cf587
2018,7,7,16,0,0,871,100002,15,2018,7,8,21,22,44,87,0.5,com.sec.android.app.shealth,UTC-0400,Broccoli,NA,120001,NA,2018,7,8,21,22,44,87,35cd483f-9985-43d7-9363-fcd95bea0424
2018,7,5,20,36,3,742,100003,140,2018,7,5,23,8,24,797,2,com.sec.android.app.shealth,UTC-0400,Sweet Potato Noodles(Whole Foods Market),NA,120001,NA,2018,7,5,23,8,24,797,c7feeeee-0cb8-4437-b99b-e6c68f990d7a
